GAME OF THE YEAR,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
Guilty Gear Xrd –SIGN–,https://en.wikipedia.org/wiki/Guilty_Gear_Xrd,Arc System Works,JP: Sega | JP: Arc System Works | NA: Aksys Games | EU: Sony Computer Entertainment (Sign) | EU: PQube (Revelator  Rev 2) | WW: Arc System Works | ,JP: February 20, 2014 | JP: December 4, 2014 | NA: December 16, 2014 | EU: June 3, 2015 (Digital-only) | WW: December 9, 2015 | JP: August 25, 2015 | JP: May 26, 2016 | NA: June 7, 2016 | EU: June 10, 2016[1] | WW: December 14, 2016 | JP: March 30, 2017 | JP: May 25, 2017 | NA: May 26, 2017 | EU: May 26, 2017 | ,Fighting,Single-playerMultiplayer,Sega RingEdge 2
Rise of Incarnates,https://en.wikipedia.org/wiki/Rise_of_Incarnates,Bandai Namco Entertainment,Bandai Namco Entertainment,Microsoft Windows,WW: July 1  2015,Fighting,Multiplayer
Rising Thunder,https://en.wikipedia.org/wiki/Rising_Thunder_(video_game),Radiant Entertainment,Radiant Entertainment,Microsoft Windows,Cancelled,Fighting,Single-player |  multiplayer

BEST FAMILY GAME,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
SUPER MARIO MAKER (1st),https://en.wikipedia.org/wiki/Super_Mario_Maker,Nintendo EAD,Nintendo,Wii U  Nintendo 3DS,JP: September 10  2015: NA/EU: September 11  2015 | AU: September 12  2015: JP: December 1  2016 | NA/EU: December 2  2016: AU: December 3  2016 | ,Level editor  platform,Single-player
Disney Infinity 3.0,https://en.wikipedia.org/wiki/Disney_Infinity_3.0,Avalanche SoftwareHeavy Iron Studios[a],Disney Interactive Studios,Microsoft WindowsPlayStation 3PlayStation 4Xbox 360Xbox OneWii UiOSAndroidApple TV,August 28  2015,Action-adventure  sandbox  toys-to-life,Single-player |  multiplayer
Lego Dimensions,https://en.wikipedia.org/wiki/Lego_Dimensions,Traveller's Tales,Warner Bros. Interactive Entertainment,PlayStation 3 | PlayStation 4 | Wii U | Xbox 360 | Xbox One | ,NA: 27 September 2015: AU: 28 September 2015 | EU: 29 September 2015: ,Action-adventure,Single-player |  multiplayer
Skylanders: SuperChargers,https://en.wikipedia.org/wiki/Skylanders:_SuperChargers,Vicarious VisionsBeenox,Activision,PlayStation 3  Xbox 360  PlayStation 4  Xbox One  Wii U  iOS  Nintendo 3DS  Wii,NA: September 20  2015[1]: AU: September 23  2015 | EU: September 25  2015[2]: ,Toys-to-life  role-playing  platform  racing,Single-player |  multiplayer
Splatoon,https://en.wikipedia.org/wiki/Splatoon,Nintendo EAD,Nintendo,Wii U,JP: 28 May 2015[5]: NA: 29 May 2015[4] | EU: 29 May 2015[6]: AU: 30 May 2015 | ,Third-person shooter,Single-player |  multiplayer

BEST SPORTS/RACING GAME,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
ROCKET LEAGUE (1st),https://en.wikipedia.org/wiki/Rocket_League,Psyonix[b],Psyonix,Microsoft Windows | PlayStation 4 | Xbox One | macOS | Linux | Nintendo Switch | ,Windows  PlayStation 4: July 7  2015 | Xbox One: February 17  2016 | macOS  Linux: September 8  2016 | Nintendo Switch: November 14  2017 | ,Sports,Single-player |  multiplayer
FIFA 16,https://en.wikipedia.org/wiki/FIFA_16,EA Canada,EA Sports,Microsoft WindowsPlayStation 3PlayStation 4Xbox 360Xbox OneAndroid[1]iOS[1],NA: 22 September 2015: EU: 24 September 2015 | ,Sports,Single-player |  multiplayer
Forza Motorsport 6,https://en.wikipedia.org/wiki/Forza_Motorsport_6,Turn 10 Studios,Microsoft Studios,Xbox OneWindows 10 Anniversary Update and later,NA: September 15  2015: EU: September 18  2015 | WW: September 6  2016: ,Racing,Single-player |  multiplayer
NBA 2K16,https://en.wikipedia.org/wiki/NBA_2K16,Visual Concepts,2K Sports,Microsoft WindowsPlayStation 3PlayStation 4Xbox 360Xbox OneAndroidiOS,WW: September 29  2015[1]: WW: October 14  2015 | ,Sports,Single-player |  multiplayer
Pro Evolution Soccer 2016,https://en.wikipedia.org/wiki/Pro_Evolution_Soccer_2016,PES Productions,Konami,Microsoft WindowsPlayStation 3PlayStation 4Xbox 360Xbox One,NA: September 15  2015: EU: September 17  2015 | UK: September 18  2015: AU: September 22  2015 | JP: October 1  2015: ,Sports,Single-player |  multiplayer

BEST MULTIPLAYER,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
SPLATOON (1st),https://en.wikipedia.org/wiki/Splatoon,Nintendo EAD,Nintendo,Wii U,JP: 28 May 2015[5]: NA: 29 May 2015[4] | EU: 29 May 2015[6]: AU: 30 May 2015 | ,Third-person shooter,Single-player |  multiplayer
Call of Duty: Black Ops III,https://en.wikipedia.org/wiki/Call_of_Duty:_Black_Ops_III,Treyarch[a],Activision,Microsoft WindowsMacOSPlayStation 3PlayStation 4Xbox 360Xbox One,November 6  2015April 4 2019 (MacOS),First-person shooter,Single-player |  multiplayer[c]
Destiny: The Taken King,https://en.wikipedia.org/wiki/Destiny:_The_Taken_King,Bungie,Activision,PlayStation 3 | PlayStation 4 | Xbox 360 | Xbox One | ,WW: September 15  2015,Action role-playing  first-person shooter,Multiplayer
Halo 5: Guardians,https://en.wikipedia.org/wiki/Halo_5:_Guardians,343 Industries,Microsoft Studios,Xbox One,October 27  2015,First-person shooter,Single-player |  multiplayer
Rocket League,https://en.wikipedia.org/wiki/Rocket_League,Psyonix[b],Psyonix,Microsoft Windows | PlayStation 4 | Xbox One | macOS | Linux | Nintendo Switch | ,Windows  PlayStation 4: July 7  2015 | Xbox One: February 17  2016 | macOS  Linux: September 8  2016 | Nintendo Switch: November 14  2017 | ,Sports,Single-player |  multiplayer

